Date,Open,High,Low,Close,Volume,Adj Close
2014-12-01,118.81,119.25,111.27,115.07,83814000,115.07
2014-11-28,119.27,119.40,118.05,118.93,24814400,118.93
2014-11-26,117.94,119.10,117.83,119.00,40768300,119.00
2014-11-25,119.07,119.75,117.45,117.60,68840400,117.60
2014-11-24,116.85,118.77,116.62,118.63,47450800,118.63
2014-11-21,117.51,117.57,116.03,116.47,57179300,116.47
2014-11-20,114.91,116.86,114.85,116.31,43395500,116.31
2014-11-19,115.44,115.74,113.80,114.67,41869200,114.67
2014-11-18,113.94,115.69,113.89,115.47,44224000,115.47
2014-11-17,114.27,117.28,113.30,113.99,46746700,113.99
2014-11-14,113.15,114.19,113.05,114.18,44063600,114.18
2014-11-13,111.80,113.45,111.60,112.82,59522900,112.82
2014-11-12,109.38,111.43,109.37,111.25,46942400,111.25
2014-11-11,108.70,109.75,108.40,109.70,27442300,109.70
2014-11-10,109.02,109.33,108.67,108.83,27195500,108.83
2014-11-07,108.75,109.32,108.55,109.01,33691500,109.01
2014-11-06,108.60,108.79,107.80,108.70,34968500,108.70
2014-11-05,109.10,109.30,108.13,108.86,37435900,108.39
2014-11-04,109.36,109.49,107.72,108.60,41574400,108.13
2014-11-03,108.22,110.30,108.01,109.40,52282600,108.93
2014-10-31,108.01,108.04,107.21,108.00,44639300,107.53
2014-10-30,106.96,107.35,105.90,106.98,40654800,106.52
2014-10-29,106.65,107.37,106.36,107.34,52687900,106.88
2014-10-28,105.40,106.74,105.35,106.74,47939900,106.28
2014-10-27,104.85,105.48,104.70,105.11,34187700,104.66
2014-10-24,105.18,105.49,104.53,105.22,47053900,104.77
2014-10-23,104.08,105.05,103.63,104.83,71074700,104.38
2014-10-22,102.84,104.11,102.60,102.99,68263100,102.55
2014-10-21,103.02,103.02,101.27,102.47,94623900,102.03
2014-10-20,98.32,99.96,98.22,99.76,77517300,99.33
2014-10-17,97.50,99.00,96.81,97.67,68179700,97.25
2014-10-16,95.55,97.72,95.41,96.26,72154500,95.84
2014-10-15,97.97,99.15,95.18,97.54,100933600,97.12
2014-10-14,100.39,100.52,98.57,98.75,63688600,98.32
2014-10-13,101.33,101.78,99.81,99.81,53583400,99.38
2014-10-10,100.69,102.03,100.30,100.73,66331600,100.30
2014-10-09,101.54,102.38,100.61,101.02,77376500,100.58
2014-10-08,98.76,101.11,98.31,100.80,57404700,100.36
2014-10-07,99.43,100.12,98.73,98.75,42094200,98.32
2014-10-06,99.95,100.65,99.42,99.62,37051200,99.19
2014-10-03,99.44,100.21,99.04,99.62,43469600,99.19
2014-10-02,99.27,100.22,98.04,99.90,47757800,99.47
2014-10-01,100.59,100.69,98.70,99.18,51491300,98.75
2014-09-30,100.81,101.54,100.53,100.75,55264100,100.32
2014-09-29,98.65,100.44,98.63,100.11,49766300,99.68
2014-09-26,98.53,100.75,98.40,100.75,62370500,100.32
2014-09-25,100.51,100.71,97.72,97.87,100092000,97.45
2014-09-24,102.16,102.85,101.20,101.75,60171800,101.31
2014-09-23,100.60,102.94,100.54,102.64,63402200,102.20
2014-09-22,101.80,102.14,100.58,101.06,52788400,100.62
2014-09-19,102.29,102.35,100.50,100.96,70902400,100.52
2014-09-18,101.93,102.35,101.56,101.79,37299400,101.35
2014-09-17,101.27,101.80,100.59,101.58,60926500,101.14
2014-09-16,99.80,101.26,98.89,100.86,66908100,100.42
2014-09-15,102.81,103.05,101.44,101.63,61316500,101.19
2014-09-12,101.21,102.19,101.08,101.66,64096900,101.22
2014-09-11,100.41,101.44,99.62,101.43,62353100,100.99
2014-09-10,98.01,101.11,97.76,101.00,100869600,100.56
2014-09-09,99.08,103.08,96.14,97.99,189846300,97.57
2014-09-08,99.30,99.31,98.05,98.36,46356700,97.94
2014-09-05,98.80,99.39,98.31,98.97,58457000,98.54
2014-09-04,98.85,100.09,97.79,98.12,85718000,97.70
2014-09-03,103.10,103.20,98.58,98.94,125421000,98.51
2014-09-02,103.06,103.74,102.72,103.30,53564000,102.85
2014-08-29,102.86,102.90,102.20,102.50,44595000,102.06
2014-08-28,101.59,102.78,101.56,102.25,68460000,101.81
2014-08-27,101.02,102.57,100.70,102.13,52369000,101.69
2014-08-26,101.42,101.50,100.86,100.89,33152000,100.45
2014-08-25,101.79,102.17,101.28,101.54,40270000,101.10
2014-08-22,100.29,101.47,100.19,101.32,44184000,100.88
2014-08-21,100.57,100.94,100.11,100.58,33478000,100.15
2014-08-20,100.44,101.09,99.95,100.57,52699000,100.14
2014-08-19,99.41,100.68,99.32,100.53,69399000,100.10
2014-08-18,98.49,99.37,97.98,99.16,47572000,98.73
2014-08-15,97.90,98.19,96.86,97.98,48951000,97.56
2014-08-14,97.33,97.57,96.80,97.50,28116000,97.08
2014-08-13,96.15,97.24,96.04,97.24,31916000,96.82
2014-08-12,96.04,96.88,95.61,95.97,33795000,95.56
2014-08-11,95.27,96.08,94.84,95.99,36585000,95.58
2014-08-08,94.26,94.82,93.28,94.74,41865000,94.33
2014-08-07,94.93,95.95,94.10,94.48,46711000,94.07
2014-08-06,94.75,95.48,94.71,94.96,38558000,94.08
2014-08-05,95.36,95.68,94.36,95.12,55933000,94.24
2014-08-04,96.37,96.58,95.17,95.59,39958000,94.71
2014-08-01,94.90,96.62,94.81,96.13,48511000,95.24
2014-07-31,97.16,97.45,95.33,95.60,56843000,94.72
2014-07-30,98.44,98.70,97.67,98.15,33010000,97.24
2014-07-29,99.33,99.44,98.25,98.38,43143000,97.47
2014-07-28,97.82,99.24,97.55,99.02,55318000,98.10
2014-07-25,96.85,97.84,96.64,97.67,43469000,96.77
2014-07-24,97.04,97.32,96.42,97.03,45729000,96.13
2014-07-23,95.42,97.88,95.17,97.19,92918000,96.29
2014-07-22,94.68,94.89,94.12,94.72,55197000,93.84
2014-07-21,94.99,95.00,93.72,93.94,39079000,93.07
2014-07-18,93.62,94.74,93.02,94.43,49988000,93.56
2014-07-17,95.03,95.28,92.57,93.09,57298000,92.23
2014-07-16,96.97,97.10,94.74,94.78,53502000,93.90
2014-07-15,96.80,96.85,95.03,95.32,45477900,94.44
2014-07-14,95.86,96.89,95.65,96.45,42810000,95.56
2014-07-11,95.36,95.89,94.86,95.22,34018000,94.34
2014-07-10,93.76,95.55,93.52,95.04,39686000,94.16
2014-07-09,95.44,95.95,94.76,95.39,36436000,94.51
2014-07-08,96.27,96.80,93.92,95.35,65222000,94.47
2014-07-07,94.14,95.99,94.10,95.97,56468000,95.08
2014-07-03,93.67,94.10,93.20,94.03,22891800,93.16
2014-07-02,93.87,94.06,93.09,93.48,28465000,92.62
2014-07-01,93.52,94.07,93.13,93.52,38223000,92.66
2014-06-30,92.10,93.73,92.09,92.93,49589000,92.07
2014-06-27,90.82,92.00,90.77,91.98,64029000,91.13
2014-06-26,90.37,91.05,89.80,90.90,32629000,90.06
2014-06-25,90.21,90.70,89.65,90.36,36869000,89.52
2014-06-24,90.75,91.74,90.19,90.28,39036000,89.45
2014-06-23,91.32,91.62,90.60,90.83,43694000,89.99
2014-06-20,91.85,92.55,90.90,90.91,100898000,90.07
2014-06-19,92.29,92.30,91.34,91.86,35528000,91.01
2014-06-18,92.27,92.29,91.35,92.18,33514000,91.33
2014-06-17,92.31,92.70,91.80,92.08,29726000,91.23
2014-06-16,91.51,92.75,91.45,92.20,35561000,91.35
2014-06-13,92.20,92.44,90.88,91.28,54525000,90.44
2014-06-12,94.04,94.12,91.90,92.29,54749000,91.44
2014-06-11,94.13,94.76,93.47,93.86,45681000,92.99
2014-06-10,94.73,95.05,93.57,94.25,62777000,93.38
2014-06-09,92.70,93.88,91.75,93.70,75415000,92.83
2014-06-06,649.90,651.26,644.47,645.57,87484600,91.37
2014-06-05,646.20,649.37,642.61,647.35,75951400,91.62
2014-06-04,637.44,647.89,636.11,644.82,83870500,91.27
2014-06-03,628.46,638.74,628.25,637.54,73177300,90.24
2014-06-02,633.96,634.83,622.50,628.65,92337700,88.98
2014-05-30,637.98,644.17,628.90,633.00,141005200,89.59
2014-05-29,627.85,636.87,627.77,635.38,94118500,89.93
2014-05-28,626.02,629.83,623.78,624.01,78870400,88.32
2014-05-27,615.88,625.86,615.63,625.63,87216500,88.55
2014-05-23,607.25,614.73,606.47,614.13,58052400,86.92
2014-05-22,606.60,609.85,604.10,607.27,50190000,85.95
2014-05-21,603.83,606.70,602.06,606.31,49214900,85.81
2014-05-20,604.51,606.40,600.73,604.71,58709000,85.59
2014-05-19,597.85,607.33,597.33,604.59,79438800,85.57
2014-05-16,588.63,597.53,585.40,597.51,69064100,84.57
2014-05-15,594.70,596.60,588.04,588.82,57711500,83.34
2014-05-14,592.43,597.40,591.74,593.87,41601000,84.05
